code,url,product_name,quantity,packaging_tags,categories_tags,origins,manufacturing_places_tags,labels_tags,countries_tags,ingredients_tags,allergens,traces,additives_tags,image_url
0011210000018,http://world-en.openfoodfacts.org/product/0011210000018/tabasco-classico,Tabasco Classico,59 mL,"en:glass,en:bottle","en:groceries,en:sauces,en:pimented-sauces",,,en:no-gluten,"en:france,en:switzerland,en:united-states","en:distilled-vinegar,en:vinegar,en:red-bell-pepper,en:vegetable,en:bell-pepper,en:salt",,,,https://images.openfoodfacts.org/images/products/001/121/000/0018/front_en.34.400.jpg
0011210006508,http://world-en.openfoodfacts.org/product/0011210006508/tabasco-habanero-sauce,Tabasco Habanero Sauce,60 ml,"en:bottle,en:flasque,en:produkt","en:groceries,en:sauces,en:hot-sauces,en:pimented-sauces",,,en:no-gluten,"en:australia,en:belgium,en:france,en:germany,en:luxembourg,en:switzerland","en:distilled-vinegar,en:vinegar,en:habanero-chili,en:vegetable,en:chili-pepper,en:cane-sugar,en:added-sugar,en:disaccharide,en:sugar,en:tabasco-brand-pepper-sauce,en:salt,en:mango-puree,en:fruit,en:puree,en:mango,en:dehydrated-onion,en:root-vegetable,en:onion,en:banana,en:tomato-concentrate,en:tomato,en:tamarind,en:papaya,en:spice,en:condiment,en:garlic,en:tabasco-pepper-mash,en:red-bell-pepper,en:bell-pepper,en:aged-red-pepper",,,,https://images.openfoodfacts.org/images/products/001/121/000/6508/front_en.44.400.jpg
0011210009578,http://world-en.openfoodfacts.org/product/0011210009578/tabasco-mild,Tabasco Mild,60 ml,"fr:bouteille-verre,fr:boite-carton","en:groceries,en:sauces,en:pimented-sauces",,united-states,en:halal,en:switzerland,"en:alcohol-vinegar,en:vinegar,en:jalapeno,en:vegetable,en:chili-pepper,en:water,en:salt,en:corn-starch,en:starch,fr:epaississant-xanthan,en:antioxidant,en:e300",,,en:e300,https://images.openfoodfacts.org/images/products/001/121/000/9578/front_fr.36.400.jpg
0011210115224,http://world-en.openfoodfacts.org/product/0011210115224/tabasco-pepper-sauce,Tabasco Pepper Sauce,60 ml,,"en:groceries,en:condiments,en:sauces,en:pimented-sauces",,,,en:switzerland,"en:spirit-vinegar,en:vinegar,en:red-chili-pepper,en:vegetable,en:chili-pepper,en:salt",,,,https://images.openfoodfacts.org/images/products/001/121/011/5224/front_fr.27.400.jpg
0011210125650,http://world-en.openfoodfacts.org/product/0011210125650/tabasco,Tabasco,,,"en:groceries,en:condiments,en:sauces,en:pimented-sauces",,united-states,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/001/121/012/5650/front_fr.3.400.jpg
0011359650105,http://world-en.openfoodfacts.org/product/0011359650105/mild-taco-sauce,Mild taco sauce,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/001/135/965/0105/front_fr.3.400.jpg
0011359650136,http://world-en.openfoodfacts.org/product/0011359650136/salsa-guacamole-frasco-210-g-cantina-mexicana,Salsa guacamole frasco 210 g,,,"en:groceries,en:sauces,en:guacamoles",,,,"en:france,en:switzerland",,,,,https://images.openfoodfacts.org/images/products/001/135/965/0136/front_fr.6.400.jpg
0011395645028,http://world-en.openfoodfacts.org/product/0011395645028/cantina-mexicana-stone-ground-chili-flavoured-corn-chips,Cantiña Mexicana - Stone Ground Chili Flavoured Corn Chips,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/001/139/564/5028/front_fr.3.400.jpg
00118,http://world-en.openfoodfacts.org/product/00118/snep-the-mix,Snep the mix,,,,,,,en:switzerland,,,,,https://images.openfoodfacts.org/images/products/00118/front_fr.3.400.jpg
00118668,http://world-en.openfoodfacts.org/product/00118668/skyr-migros,skyr,170 g,en:pot,"en:dairies,en:desserts,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:dairy-desserts,en:cream-cheeses,en:skyr",Suisse,suisse,,en:switzerland,fr:sere-maigre-au-lait-pasteurise-elabore-avec-du-lait-avec-cultures-de-skyr,,,,https://images.openfoodfacts.org/images/products/00118668/front_fr.4.400.jpg
